id	htid	person_id	author1_normalized	author1	author2	author3	author4	title	imprint	date	place	isbn	oclc	lccn
7231	mdp.39015010923335	3286	Gardner, John	Gardner, John 1933-1982 author.	Gardner, John 1933-1982	Delbanco, Nicholas writer of introduction, former owner.	null	Stillness ; and, Shadows / John Gardner ; edited and with an introduction by Nicholas Delbanco.	Alfed A. Knopf, 1986.	1986	nyu	['0394544021 :']	['13003084']	['85045592']
7232	mdp.39015003681197	3286	Gardner, John	Gardner, John 1933-1982	null	null	null	Jason and Medeia [by] John Gardner.	Knopf; [distributed by Random House] 1973.	1973	nyu	['0394483170 :']	['675971']	['72011021']
7233	mdp.39015034646342	3286	Gardner, John	Gardner, John 1933-1982	null	null	null	Grendel [by] John Gardner. Illustrated by Emil Antonucci.	Knopf, 1971.	1971	nyu	['0394471431 :']	['161732']	['70154911']
7234	mdp.39015010379967	158	Bell, Marvin	Bell, Marvin 1937-	null	null	null	Old snow just melting : essays and interviews / Marvin Bell.	University of Michigan Press, c1983.	1983	miu	['0472063421 (pbk.) :']	['8975361']	['82021972']
7235	mdp.39015008501283	5	Bly, Robert	Bly, Robert.	null	null	null	Point Reyes poems.	Mudra, c1974	1974	cau	[]	['1068596']	[]
7236	mdp.39015002263435	5	Bly, Robert	Bly, Robert.	Wang, Hui-ming illustrator.	Barre Publishers	null	Jumping out of bed : poems / by Robert Bly ; woodcuts by Wang Hui-ming.	Barre Publishers, 1973.	1973	mau	[]	['604365']	[]
7237	uc1.$b401385	3120	Boles, Robert	Boles, Robert.	null	null	null	The people one knows, a novel.	Houghton Mifflin, 1964.	1964	mau	[]	['869564']	['64017362']
7238	uc1.$b401384	3120	Boles, Robert	Boles, Robert.	null	null	null	Curling, a novel.	Houghton Mifflin 1968 [c1967]	1968	mau	[]	['437443']	['68012778']
7239	mdp.39015030735677	158	Bell, Marvin	Bell, Marvin 1937-	null	null	null	Residue of song : poems / by Marvin Bell.	Atheneum, 1974.	1974	nyu	['0689106378:']	['1017460']	['74080325']
7240	mdp.39015030735693	158	Bell, Marvin	Bell, Marvin 1937-	null	null	null	A probable volume of dreams : poems.	Atheneum, 1969.	1969	nyu	[]	['47316']	['77084942']
7241	mdp.39015030735685	158	Bell, Marvin	Bell, Marvin 1937-	null	null	null	The escape into you; a sequence.	Atheneum, 1971.	1971	nyu	[]	['162819']	['79162967']
7242	mdp.39015007026837	3459	Godwin, Gail	Godwin, Gail.	null	null	null	The finishing school / by Gail Godwin.	Viking, 1985, c1984.	1985	nyu	['0670314943 :']	['10850141']	['84040069']
7243	uc1.b4381855	3128	McDowell, Frederick P. W.	McDowell, Frederick P. W.	null	null	null	Caroline Gordon,	University of Minnesota Press [1966]	1966	mnu	[]	['284661']	['66064592']
7244	mdp.39015003350033	3083	Engle, Paul	Engle, Paul 1908-	null	null	null	Worn earth [by] Paul Engle.	Yale university press; H. Milford, Oxford university press, 1932.	1932	ctu	[]	['3351565']	['32024018//r38']
7245	mdp.39015008146741	3678	Delbanco, Nicholas	Delbanco, Nicholas.	null	null	null	Small rain.	Morrow, 1975.	1975	nyu	['0688028853']	['1046033']	['74017481']
