htid	title_id	title	author	year	first_week	debut_rank	best_rank
uc1.b3688177	5575	THE LAST ANGRY MAN	Gerald Green	1957	1957-02-24	12	4
mdp.39015005307429	5578	THE LAST CONVERTIBLE	Anton Myrer	1978	1978-05-14	8	7
uc1.b4451962	5578	THE LAST CONVERTIBLE	Anton Myrer	1978	1978-05-14	8	7
mdp.39015056814000	5582	THE LAST DETECTIVE	Robert Crais	2003	2003-03-09	11	4
mdp.39015038013416	5583	THE LAST DON	Mario Puzo	1996	1996-08-11	4	3
mdp.39015040127014	5585	THE LAST ENCHANTMENT	Mary Stewart	1979	1979-08-12	4	1
pst.000031736572	5585	THE LAST ENCHANTMENT	Mary Stewart	1979	1979-08-12	4	1
mdp.39015047068179	5587	THE LAST FULL MEASURE	Jeff Shaara	1998	1998-06-21	2	8
mdp.39015055801032	5588	THE LAST GIRLS	Lee Smith	2002	2002-10-13	9	15
mdp.39015041541080	5589	THE LAST HEROES	W. E. B. Griffin	1997	1997-07-20	9	12
mdp.39015015203519	5591	THE LAST HURRAH	Edwin O'Connor	1956	1956-02-26	7	1
mdp.39015035332892	5599	THE LAST OF THE JUST	Andre Schwarz-Bart	1960	1960-11-20	15	1
mdp.39015035334856	5599	THE LAST OF THE JUST	Andre Schwarz-Bart	1960	1960-11-20	15	1
uc1.32106007246660	5599	THE LAST OF THE JUST	Andre Schwarz-Bart	1960	1960-11-20	15	1
uc1.32106017525483	5599	THE LAST OF THE JUST	Andre Schwarz-Bart	1960	1960-11-20	15	1
mdp.39015031600805	5599	THE LAST OF THE JUST	Andre Schwarz-Bart	1960	1960-11-20	15	1
uc1.32106012620024	5599	THE LAST OF THE JUST	Andre Schwarz-Bart	1960	1960-11-20	15	1
mdp.39015005091890	5600	THE LAST OF THE WINE	Mary Renault	1956	1956-12-30	16	11
mdp.39015050304198	5605	THE LAST PRECINCT	Patricia Cornwell	2000	2000-11-05	8	1
mdp.39015055901733	5607	THE LAST PROMISE	Richard Paul Evans	2002	2002-12-01	4	10
mdp.39015002758020	5608	THE LAST PURITAN	George Santayana	1936	1936-02-10	1	1
mdp.39015002758004	5608	THE LAST PURITAN	George Santayana	1936	1936-02-10	1	1
mdp.39015063268281	5615	THE LAST TEMPLAR	Raymond Khoury	2006	2006-02-05	7	4
uc1.$b105845	5616	THE LAST TEMPTATION	Joseph Viertel	1955	1955-06-26	16	14
mdp.39015005613537	5617	THE LAST TEMPTATION OF CHRIST	Nikos Kazantzakis	1960	1960-09-04	1	7
uc1.32106010931118	5617	THE LAST TEMPTATION OF CHRIST	Nikos Kazantzakis	1960	1960-09-04	1	7
mdp.39015077269044	5617	THE LAST TEMPTATION OF CHRIST	Nikos Kazantzakis	1960	1960-09-04	1	7
mdp.39015037844969	5618	THE LAST THING HE WANTED	Joan Didion	1996	1996-09-29	16	15
uc1.$b101974	5628	THE LATTIMER LEGEND	Ann Hellesbusch Hebson	1962	1962-01-21	16	15
mdp.39015062993988	5630	THE LAW	Roger Vailland	1958	1958-10-19	16	11
uc1.$b703951	5630	THE LAW	Roger Vailland	1958	1958-10-19	16	11
inu.39000000984323	5630	THE LAW	Roger Vailland	1958	1958-10-19	16	11
mdp.39015038151190	5632	THE LAW OF LOVE	Laura Esquivel	1996	1996-10-13	15	9
mdp.39015037259424	5632	THE LAW OF LOVE	Laura Esquivel	1996	1996-10-13	15	9
mdp.39015039811552	5637	THE LEFT HAND IS THE DREAMER	Nancy Wilson Ross	1947	1947-03-09	6	8
uc1.$b105024	5637	THE LEFT HAND IS THE DREAMER	Nancy Wilson Ross	1947	1947-03-09	6	8
mdp.39015030853785	5638	THE LEFT HAND OF GOD	William E. Barrett	1951	1951-02-18	12	8
inu.30000111827857	5638	THE LEFT HAND OF GOD	William E. Barrett	1951	1951-02-18	12	8
mdp.39015009336911	5640	THE LEGACY	Howard Fast	1981	1981-09-27	4	4
uc1.b4091168	5641	THE LEGACY	Nevil Shute	1950	1950-07-02	5	4
mdp.39015001528531	5641	THE LEGACY	Nevil Shute	1950	1950-07-02	5	4
mdp.39015040577127	5647	THE LETTER	Richard Paul Evans	1997	1997-10-26	15	4
pst.000011439356	5648	THE LEVANTER	Eric Ambler	1972	1972-07-23	10	7
mdp.39015046411982	5656	THE LIGHT IN THE PIAZZA	Elizabeth Spencer	1961	1961-01-15	1	14
mdp.39015051324112	5658	THE LIGHT INFANTRY BALL	Hamilton Basso	1959	1959-06-21	16	8
uc1.b4097367	5662	THE LINCOLN LORDS	Cameron Hawley	1960	1960-03-20	10	4
uc1.b3688258	5662	THE LINCOLN LORDS	Cameron Hawley	1960	1960-03-20	10	4
mdp.39015040991344	5668	THE LIST	Steve Martini	1997	1997-03-09	6	9
mdp.39015066065536	5672	THE LITTLE FRIEND	Donna Tartt	2002	2002-11-10	3	8
uc1.32106008141977	5675	THE LITTLE SISTER	Raymond Chandler	1949	1949-10-23	2	15
mdp.39015014610110	5676	THE LITTLE WORLD OF DON CAMILLO	Giovanni Guareschi	1950	1950-09-10	2	6
mdp.39015010842667	5676	THE LITTLE WORLD OF DON CAMILLO	Giovanni Guareschi	1950	1950-09-10	2	6
uc1.b3767191	5676	THE LITTLE WORLD OF DON CAMILLO	Giovanni Guareschi	1950	1950-09-10	2	6
pst.000029827657	5676	THE LITTLE WORLD OF DON CAMILLO	Giovanni Guareschi	1950	1950-09-10	2	6
mdp.39015000945090	5676	THE LITTLE WORLD OF DON CAMILLO	Giovanni Guareschi	1950	1950-09-10	2	6
